,1,2,3,4,5,6,7,8,9,10,11.1,11.2,11.3,11.4,11.5,11.6,12,13.1,13.2,13.3,13.4,13.5,13.6,13.7,13.8,13.9,13.11,14,15.1,15.2,15.3,15.4,15.5,15.6,16,17.1,17.2,17.3,17.4,17.5,17.6,17.7,17.8,17.9,17.11,17.12,17.13
1,2,2,3,1,5,2,2,4,1,2,1,2,4,3,5,6,4,1,1,1,1,1,1,0,1,1,0,4,4,5,1,6,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1
2,2,3,3,1,5,3,3,2,3,1,4,2,1,3,6,5,2,1,0,1,1,0,0,0,0,1,0,3,1,6,3,4,2,5,1,1,0,0,0,0,0,0,0,0,1,1,1
3,2,2,4,1,3,4,3,3,3,2,1,-2,-2,2,-2,3,1,1,1,1,1,1,0,1,1,1,0,4,1,-2,2,-2,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1
4,1,6,3,1,3,3,3,4,2,2,2,3,6,4,5,1,2,1,0,1,1,1,0,0,1,0,0,4,1,4,5,6,2,3,3,1,1,1,1,1,1,1,1,1,0,0,0
5,2,2,2,1,4,2,2,4,2,2,1,5,6,2,3,4,6,1,1,1,1,0,0,0,1,1,0,4,1,4,3,5,2,6,4,1,1,1,0,1,1,1,1,1,1,1,1
6,2,6,1,1,3,4,2,4,2,2,1,5,2,3,4,6,6,1,0,1,1,0,0,0,1,1,0,2,2,4,1,5,3,6,1,1,1,1,0,1,1,0,0,1,1,1,1
7,1,1,3,1,3,3,3,4,3,5,1,5,6,2,3,4,6,0,0,1,0,0,0,0,0,1,0,4,5,4,2,6,1,3,3,1,1,1,1,1,1,1,1,1,0,0,0
8,1,2,1,1,4,2,3,2,3,2,1,6,4,2,5,3,6,1,0,1,1,0,0,0,1,1,0,3,1,2,4,5,3,6,5,1,1,1,0,1,1,0,1,1,1,1,1
9,1,4,3,1,3,3,4,4,1,2,1,3,6,5,4,2,3,1,0,1,1,0,1,0,1,0,0,3,1,5,4,6,2,3,1,0,0,1,1,1,0,0,0,0,0,0,0
10,1,5,4,1,3,4,3,1,1,2,2,5,3,1,4,6,2,1,0,1,1,0,0,0,1,1,0,3,5,4,2,6,1,3,1,1,1,1,0,1,1,0,1,1,1,1,1
11,1,5,2,1,5,4,3,2,3,3,-2,-2,-2,1,2,-2,1,1,1,1,1,0,1,1,1,1,0,4,2,1,3,-2,-2,-2,4,1,1,1,0,1,1,0,1,1,1,1,1
12,2,3,1,2,3,3,3,2,1,1,3,4,5,1,6,2,3,1,0,1,0,0,0,0,0,0,0,3,2,1,4,6,3,5,1,1,1,1,0,1,0,0,1,1,1,1,1
13,1,1,2,1,4,3,1,4,2,2,1,5,6,2,3,4,6,1,0,0,1,0,0,0,0,1,0,3,1,2,3,5,4,6,4,1,1,1,0,1,0,0,1,1,1,1,1
14,1,4,2,1,3,4,2,4,3,5,1,3,5,4,6,2,6,0,1,1,0,0,0,0,1,0,0,3,1,3,2,6,4,5,5,1,1,1,1,1,0,1,1,0,0,0,0
15,1,3,2,1,3,4,2,1,3,2,4,2,6,3,5,1,3,1,0,1,1,0,0,0,1,1,0,3,3,4,5,6,2,1,1,0,0,1,0,1,0,0,0,0,1,0,1
16,2,6,1,1,3,1,4,2,2,2,1,4,6,3,5,2,3,0,0,0,1,0,0,0,1,0,0,4,6,5,3,4,2,1,2,1,1,1,0,1,1,0,1,1,1,1,1
17,3,6,1,2,4,3,2,4,1,2,4,2,5,1,6,3,6,1,0,1,1,0,0,0,1,1,0,4,1,5,2,6,4,3,4,1,1,1,1,1,1,0,1,1,1,1,1
18,2,3,4,1,4,3,2,2,2,2,1,4,6,3,5,2,2,1,0,1,1,0,1,0,1,0,0,3,1,2,6,4,5,3,4,1,1,1,0,1,1,0,1,1,0,1,1
19,2,3,1,1,3,3,3,4,2,1,2,5,4,3,6,1,6,1,1,1,1,0,0,0,1,1,0,4,2,1,5,3,4,6,1,1,1,1,0,1,0,0,0,1,1,1,1
20,1,2,4,1,3,3,3,1,1,2,5,4,2,1,3,6,6,1,1,1,1,0,1,1,1,0,0,4,5,4,3,6,1,2,4,1,0,1,0,1,1,0,1,1,1,1,1
21,2,4,5,1,3,3,2,4,1,2,1,-2,-2,2,3,4,2,1,1,1,1,1,0,0,1,0,0,4,-2,-2,1,-2,2,-2,3,1,1,1,0,1,1,0,0,1,1,1,1
22,1,6,5,1,3,4,2,1,2,5,1,5,6,2,3,4,2,1,0,1,1,0,0,0,1,0,0,4,5,3,2,6,1,4,5,1,1,1,0,1,0,1,1,1,1,1,1
23,3,2,2,2,2,3,3,1,1,2,1,2,3,4,5,6,6,1,1,1,1,1,1,1,1,1,0,4,1,2,4,3,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1
